Bandit,Reward,Algorithm
3,4.655547041815993,Thompson-Sampling
3,5.385253129733234,Thompson-Sampling
3,5.244605011094375,Thompson-Sampling
3,4.605498811646453,Thompson-Sampling
3,4.2678898394455596,Thompson-Sampling
3,4.008391695260704,Thompson-Sampling
3,3.0948337643939254,Thompson-Sampling
3,4.077972478624395,Thompson-Sampling
3,4.37731347002837,Thompson-Sampling
3,6.375753193039666,Thompson-Sampling
3,4.540586738803806,Thompson-Sampling
3,3.9901190159402464,Thompson-Sampling
3,4.42382860864145,Thompson-Sampling
3,4.331358600809276,Thompson-Sampling
3,4.31813306111269,Thompson-Sampling
3,2.30403770435212,Thompson-Sampling
3,3.115213778509244,Thompson-Sampling
3,3.166946231470565,Thompson-Sampling
3,3.622318321891602,Thompson-Sampling
3,4.981114818976878,Thompson-Sampling
3,4.618898004749283,Thompson-Sampling
3,3.2501332940727026,Thompson-Sampling
3,3.5506565652525928,Thompson-Sampling
3,3.1868036187615187,Thompson-Sampling
3,2.831515380013403,Thompson-Sampling
3,3.379180173879288,Thompson-Sampling
3,4.080517553562232,Thompson-Sampling
3,4.158249962553171,Thompson-Sampling
3,4.299264855021702,Thompson-Sampling
3,4.883708554259149,Thompson-Sampling
3,4.888426181008113,Thompson-Sampling
3,5.447022629605278,Thompson-Sampling
3,2.9714256599549507,Thompson-Sampling
3,4.259920990111798,Thompson-Sampling
3,4.819954248792679,Thompson-Sampling
3,4.20384712225141,Thompson-Sampling
3,4.391971121082168,Thompson-Sampling
3,4.435884313522125,Thompson-Sampling
3,4.579470127802576,Thompson-Sampling
3,3.939039432212012,Thompson-Sampling
3,3.771663654057217,Thompson-Sampling
3,2.686934953792899,Thompson-Sampling
3,3.773053882898291,Thompson-Sampling
3,2.575377543672526,Thompson-Sampling
3,4.743589370488483,Thompson-Sampling
3,4.541407740582725,Thompson-Sampling
3,4.690225943129139,Thompson-Sampling
3,3.422075530042478,Thompson-Sampling
3,3.4228479453138245,Thompson-Sampling
3,4.2665591456354415,Thompson-Sampling
3,3.622599592729385,Thompson-Sampling
3,3.979079609854831,Thompson-Sampling
3,4.380926323866604,Thompson-Sampling
3,3.8656410047408696,Thompson-Sampling
3,4.7786070617457295,Thompson-Sampling
3,3.1120068841479327,Thompson-Sampling
3,6.8255188949290275,Thompson-Sampling
3,4.049727674561512,Thompson-Sampling
3,3.9582298220962198,Thompson-Sampling
3,3.850687203441239,Thompson-Sampling
3,2.9273168834083414,Thompson-Sampling
3,4.347234128687276,Thompson-Sampling
3,4.860459049488482,Thompson-Sampling
3,2.907125401352818,Thompson-Sampling
3,4.42368973983485,Thompson-Sampling
3,2.734266549838249,Thompson-Sampling
3,3.7095200300791773,Thompson-Sampling
3,3.7516736535464683,Thompson-Sampling
3,4.655505914995536,Thompson-Sampling
3,3.296592877195924,Thompson-Sampling
3,3.875693570202456,Thompson-Sampling
3,3.8879687796856257,Thompson-Sampling
3,3.407506517921891,Thompson-Sampling
3,2.964512869333058,Thompson-Sampling
